directors,popularity,stars,title,writers
,117,,The Shawshank Redemption ,
,582,,12 Angry Men ,
,240,,Schindler's List ,
,123,,The Godfather ,
,518,,The Godfather: Part II ,
,232,,The Lord of the Rings: The Return of the King ,
,132,,Pulp Fiction ,
,139,,The Dark Knight ,
,333,,Fight Club ,
,159,,The Lord of the Rings: The Fellowship of the Ring ,
,261,,Forrest Gump ,
,527,,"The Good, the Bad and the Ugly ",
,998,,Star Wars: Episode V - The Empire Strikes Back ,
,161,,Inception ,
,500,,One Flew Over the Cuckoo's Nest ,
,,,Grave of the Fireflies ,
,540,,Terminator 2: Judgment Day ,
,,,Sunset Boulevard ,
,,,Witness for the Prosecution ,
,902,,The Lives of Others ,
,236,,The Dark Knight Rises ,
,484,,The Lord of the Rings: The Two Towers ,
,"1,492",,3 Idiots ,
,405,,Good Will Hunting ,
,744,,Oldboy ,
,"2,062",,A Separation ,
,"1,670",,Some Like It Hot ,
,"3,259",,All About Eve ,
,"4,972",,Judgment at Nuremberg ,
,"4,455",,The Treasure of the Sierra Madre ,
,,,Andhadhun ,
,737,,Inside Out ,
,538,,Shutter Island ,
,"2,064",,Before Sunrise ,
,174,,The Wolf of Wall Street ,
,"3,218",,Memories of Murder ,
,187,,Mad Max: Fury Road ,
,486,,Spotlight ,
,,,Hachi: A Dog's Tale ,
,"3,089",,The Maltese Falcon ,
,"1,390",,Rush ,
,"3,403",,Gangs of Wasseypur ,
,,,The Mirror ,
,,,Akira ,
,"4,630",,Sangen fra havet ,
,530,,Beauty and the Beast ,
,647,,Pirates of the Caribbean: The Curse of the Black Pearl ,
,828,,The Exorcist ,
,"4,183",,Castle in the Sky ,
,"2,899",,Before Sunset ,
,"2,743",,"Paris, Texas ",
,105,,Guardians of the Galaxy ,
,633,,The Wizard of Oz ,
,895,,The Handmaiden ,
,513,,Jaws ,
,431,,The Help ,
,"1,428",,Groundhog Day ,
,,,La Haine ,
,"2,548",,In the Mood for Love ,
,651,,Donnie Darko ,
,"1,120",,Dead Poets Society ,
,497,,The Terminator ,
,"1,047",,"Monsters, Inc. ",
,"2,552",,Gandhi ,
,306,,Harry Potter and the Deathly Hallows: Part 2 ,
,,,Barry Lyndon ,
,"2,048",,Butch Cassidy and the Sundance Kid ,
,"3,455",,Nausicaä of the Valley of the Wind ,
,470,,Rocky ,
,743,,Catch Me If You Can ,
,424,,The Princess Bride ,
,276,,Logan ,
,473,,Prisoners ,
,"3,377",,Amores Perros ,
,,,Andrei Rublev ,
,"2,547",,Hotel Rwanda ,
,"2,024",,Ben-Hur ,
,,,Persona ,
,"1,142",,Million Dollar Baby ,
,385,,12 Years a Slave ,
,"1,702",,Life of Brian ,
,"1,927",,Network ,
,738,,Platoon ,
,"3,692",,It Happened One Night ,
,875,,Into the Wild ,
,751,,Stand by Me ,
,"2,756",,In the Name of the Father ,
,,,Stalker ,
,653,,The Truman Show ,
,402,,The Grand Budapest Hotel ,
,"1,494",,Wild Tales ,
,,,Neon Genesis Evangelion: The End of Evangelion ,
,108,,Jurassic Park ,
,226,,Gone Girl ,
,185,,How to Train Your Dragon ,
,,,Mary & Max ,
,247,,Hacksaw Ridge ,
,,,Rebecca ,
,555,,Kill Bill: Vol. 1 ,
,313,,The Big Lebowski ,
,"1,236",,Cool Hand Luke ,
,977,,Gran Torino ,
,"1,036",,The Deer Hunter ,
,,,Come and See ,
,"1,026",,Finding Nemo ,
,"1,011",,The Thing ,
,369,,Gone with the Wind ,
,539,,Fargo ,
,817,,Trainspotting ,
,271,,No Country for Old Men ,
,739,,There Will Be Blood ,
,"427
        ",,Blade Runner ,
,951,,Warrior ,
,"4,716",,Dial M for Murder ,
,792,,V for Vendetta ,
,70,,Room ,
,"2,259",,The Elephant Man ,
,"3,165",,On the Waterfront ,
,196,,"Three Billboards Outside Ebbing, Missouri ",
,801,,The Sixth Sense ,
,,,The Seventh Seal ,
,"1,119",,"Lock, Stock and Two Smoking Barrels ",
,761,,A Beautiful Mind ,
,"2,892",,The Bridge on the River Kwai ,
,"1,835",,The Secret in Their Eyes ,
,"3,521",,Ran ,
,"1,661",,Howl's Moving Castle ,
,972,,Casino ,
,"3,162",,The Third Man ,
