directors,popularity,stars,title,writers
"Frank Darabont,Stephen King,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,See full cast & crew",117,,The Shawshank Redemption ,
"Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,1 more credit,Al Pacino,Robert De Niro,Robert Duvall,See full cast & crew",518,,The Godfather: Part II ,
"Sidney Lumet,Reginald Rose,Reginald Rose,Henry Fonda,Lee J. Cobb,Martin Balsam,See full cast & crew",582,,12 Angry Men ,
"Steven Spielberg,Thomas Keneally,Steven Zaillian,Liam Neeson,Ralph Fiennes,Ben Kingsley,See full cast & crew",240,,Schindler's List ,
"Peter Jackson,J.R.R. Tolkien,Fran Walsh,2 more credits,Elijah Wood,Viggo Mortensen,Ian McKellen,See full cast & crew",232,,The Lord of the Rings: The Return of the King ,
"Francis Ford Coppola,Mario Puzo,Francis Ford Coppola,1 more credit,Marlon Brando,Al Pacino,James Caan,See full cast & crew",123,,The Godfather ,
"Quentin Tarantino,Quentin Tarantino,Roger Avary,1 more credit,John Travolta,Uma Thurman,Samuel L. Jackson,See full cast & crew",132,,Pulp Fiction ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,3 more credits,Christian Bale,Heath Ledger,Aaron Eckhart,See full cast & crew",139,,The Dark Knight ,
"David Fincher,Chuck Palahniuk,Jim Uhls,Brad Pitt,Edward Norton,Meat Loaf,See full cast & crew",333,,Fight Club ,
"Sergio Leone,Luciano Vincenzoni,Sergio Leone,4 more credits,Clint Eastwood,Eli Wallach,Lee Van Cleef,See full cast & crew",527,,"The Good, the Bad and the Ugly ",
"Robert Zemeckis,Winston Groom,Eric Roth,Tom Hanks,Robin Wright,Gary Sinise,See full cast & crew",261,,Forrest Gump ,
"Peter Jackson,J.R.R. Tolkien,Fran Walsh,2 more credits,Elijah Wood,Ian McKellen,Orlando Bloom,See full cast & crew",159,,The Lord of the Rings: The Fellowship of the Ring ,
"Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,See full cast & crew",161,,Inception ,
"Irvin Kershner,Leigh Brackett,Lawrence Kasdan,1 more credit,Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew",998,,Star Wars: Episode V - The Empire Strikes Back ,
"Milos Forman,Lawrence Hauben,Bo Goldman,2 more credits,Jack Nicholson,Louise Fletcher,Will Sampson,See full cast & crew",500,,One Flew Over the Cuckoo's Nest ,
"Peter Jackson,J.R.R. Tolkien,Fran Walsh,3 more credits,Elijah Wood,Ian McKellen,Viggo Mortensen,See full cast & crew",484,,The Lord of the Rings: The Two Towers ,
"Alfred Hitchcock,Ernest Lehman,Cary Grant,Eva Marie Saint,James Mason,See full cast & crew","1,210",,North by Northwest ,
"Alfred Hitchcock,Alec Coppel,Samuel A. Taylor,2 more credits,James Stewart,Kim Novak,Barbara Bel Geddes,See full cast & crew","1,665",,Vertigo ,
"Quentin Tarantino,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,See full cast & crew",268,,Django Unchained ,
"Fritz Lang,Thea von Harbou,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,See full cast & crew",,,M ,
"Michel Gondry,Charlie Kaufman,Michel Gondry,2 more credits,Jim Carrey,Kate Winslet,Tom Wilkinson,See full cast & crew",554,,Eternal Sunshine of the Spotless Mind ,
"Aamir Khan,Amole Gupte,Amole Gupte,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,See full cast & crew",,,Ligesom stjerner på jorden ,
"Makoto Shinkai,Makoto Shinkai,Makoto Shinkai,1 more credit,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,See full cast & crew",736,,Your Name. ,
"Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,4 more credits,Graham Chapman,John Cleese,Eric Idle,See full cast & crew",930,,Monty Python and the Holy Grail ,
"Michael Mann,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,See full cast & crew",345,,Heat ,
"Stanley Kubrick,Stanley Kubrick,Anthony Burgess,Malcolm McDowell,Patrick Magee,Michael Bates,See full cast & crew",206,,A Clockwork Orange ,
"Hayao Miyazaki,Hayao Miyazaki,Diana Wynne Jones,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,See full cast & crew","1,661",,Howl's Moving Castle ,
"Ron Howard,Akiva Goldsman,Sylvia Nasar,Russell Crowe,Ed Harris,Jennifer Connelly,See full cast & crew",761,,A Beautiful Mind ,
"Lenny Abrahamson,Emma Donoghue,Emma Donoghue,Brie Larson,Jacob Tremblay,Sean Bridgers,See full cast & crew",70,,Room ,
"Danny Boyle,Irvine Welsh,John Hodge,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,See full cast & crew",817,,Trainspotting ,
"Guy Ritchie,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,See full cast & crew","1,119",,"Lock, Stock and Two Smoking Barrels ",
"Dean DeBlois,Chris Sanders,William Davies,Dean DeBlois,2 more credits,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,See full cast & crew",185,,How to Train Your Dragon ,
"Andrei Tarkovsky,Arkadiy Strugatskiy,Boris Strugatskiy,2 more credits,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,See full cast & crew",,,Stalker ,
"William Wyler,Lew Wallace,Karl Tunberg,Charlton Heston,Jack Hawkins,Stephen Boyd,See full cast & crew","2,024",,Ben-Hur ,
"Damián Szifron,Germán Servidio,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,See full cast & crew","1,494",,Wild Tales ,
"Pete Docter,David Silverman,1 more credit,Pete Docter,Jill Culton,10 more credits,Billy Crystal,John Goodman,Mary Gibbs,See full cast & crew","1,047",,"Monsters, Inc. ",
"Tom McCarthy,Josh Singer,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,See full cast & crew",486,,Spotlight ,
"Ingmar Bergman,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,See full cast & crew","4,978",,Fanny and Alexander ,
"Steven Spielberg,Peter Benchley,Carl Gottlieb,1 more credit,Roy Scheider,Robert Shaw,Richard Dreyfuss,See full cast & crew",513,,Jaws ,
"Katsuhiro Ôtomo,Katsuhiro Ôtomo,Izô Hashimoto,1 more credit,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,See full cast & crew",,,Akira ,
"Tomm Moore,Will Collins,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,See full cast & crew","4,630",,Sangen fra havet ,
"Andrei Tarkovsky,Aleksandr Misharin,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,See full cast & crew",,,The Mirror ,
"Gary Trousdale,Kirk Wise,Linda Woolverton,Brenda Chapman,9 more credits,Paige O'Hara,Robby Benson,Jesse Corti,See full cast & crew",530,,Beauty and the Beast ,
"William Friedkin,William Peter Blatty,William Peter Blatty,Ellen Burstyn,Max von Sydow,Linda Blair,See full cast & crew",828,,The Exorcist ,
